id	conf	title	author	year	abstract	conf_short	theme
20	ICDE	Access Invariance and Its Use in High Contention Environments.	Peter A. Franaszek,John T. Robinson,Alexander Thomasian	1990	Access Invariance and Its Use in High Contention Environments.	ICDE	database
21	ICDE	A Multiuser Performance Analysis of Alternative Declustering Strategies.	Shahram Ghandeharizadeh,David J. DeWitt	1990	A Multiuser Performance Analysis of Alternative Declustering Strategies.	ICDE	database
22	ICDE	Multi-User View Integration System (MUVIS): An Expert System for View Integration.	Stephen Hayne,Sudha Ram	1990	Multi-User View Integration System (MUVIS): An Expert System for View Integration.	ICDE	database
23	ICDE	Object Views: Extending the Vision.	Sandra Heiler,Stanley B. Zdonik	1990	Object Views: Extending the Vision.	ICDE	database
24	ICDE	A Shared Conceptual Schema for Four Medical Expert Systems.	James P. Held,John V. Carlis	1990	A Shared Conceptual Schema for Four Medical Expert Systems.	ICDE	database
25	ICDE	Using a Meta Model to Represent Object-Oriented Data Models.	Shuguang Hong,Fred J. Maryanski	1990	Using a Meta Model to Represent Object-Oriented Data Models.	ICDE	database
26	ICDE	Chained Declustering: A New Availability Strategy for Multiprocessor Database Machines.	Hui-I Hsiao,David J. DeWitt	1990	Chained Declustering: A New Availability Strategy for Multiprocessor Database Machines.	ICDE	database
27	ICDE	The R-File: An Efficient Access Structure for Proximity Queries.	Andreas Hutflesz,Hans-Werner Six,Peter Widmayer	1990	The R-File: An Efficient Access Structure for Proximity Queries.	ICDE	database
28	ICDE	Parallelism in Object-Oriented Query Processing.	Kyung-Chang Kim	1990	Parallelism in Object-Oriented Query Processing.	ICDE	database
29	ICDE	A Flexible Transaction Model for Software Engineering.	Gail E. Kaiser	1990	A Flexible Transaction Model for Software Engineering.	ICDE	database
30	ICDE	System Issues in Parallel Sorting for Database Systems.	Balakrishna R. Iyer,Daniel M. Dias	1990	System Issues in Parallel Sorting for Database Systems.	ICDE	database
31	ICDE	Spatial Search with Polyhedra.	H. V. Jagadish	1990	Spatial Search with Polyhedra.	ICDE	database
32	ICDE	ViewSystem: Integrating Heterogeneous Information Bases by Object-Oriented Views.	Manfred Kaul,Klaus Drosten,Erich J. Neuhold	1990	ViewSystem: Integrating Heterogeneous Information Bases by Object-Oriented Views.	ICDE	database
33	ICDE	Alternatives in Complex Object Representation: A Performance Perspective.	Anant Jhingran,Michael Stonebraker	1990	Alternatives in Complex Object Representation: A Performance Perspective.	ICDE	database
34	ICDE	A Suitable Algorithm for Computing Partial Transitive Closures in Databases.	Bin Jiang	1990	A Suitable Algorithm for Computing Partial Transitive Closures in Databases.	ICDE	database
35	ICDE	Multilevel Secure Database Concurrency Control.	Thomas F. Keefe,Wei-Tek Tsai,Jaideep Srivastava	1990	Multilevel Secure Database Concurrency Control.	ICDE	database
36	ICDE	Long-Duration Transactions in Software Design Projects.	Henry F. Korth,Gregory D. Speegle	1990	Computer-assisted design applications pose many problems for database systems. Standard notions of correctness are insufficient, but some notion of correctness is still required. Formal transaction models have been proposed for such applications. However, the practicality of such models has not been clearly established. In this paper, we consider an example of a software development application and apply the NT/PV model to show how this example could be represented as a set of database transactions. We show that although the standard notion of correctness (serializability) is too strict, the notion of correctness in the NT/PV model allows sufficient concurrency with acceptable overhead. We extrapolate from this example to draw some conclusions regarding the potential usefulness of a formal approach to the management of long-duration design transactions.	ICDE	database
37	ICDE	An Object-Oriented Approach to Data/Knowledge Modeling Based on Logic.	Kyuchul Lee,Sukho Lee	1990	An Object-Oriented Approach to Data/Knowledge Modeling Based on Logic.	ICDE	database
38	ICDE	A Partitioned Signature File Structure for Multiattribute and Text Retrieval.	Dik Lun Lee,Chun-Wu Roger Leng	1990	A Partitioned Signature File Structure for Multiattribute and Text Retrieval.	ICDE	database
39	ICDE	Buffer and Load Balancing in Locally Distributed Database Systems.	Hongjun Lu,Kian-Lee Tan	1990	Buffer and Load Balancing in Locally Distributed Database Systems.	ICDE	database
40	ICDE	Propagating Updates in a Highly Replicated Database.	Tony P. Ng	1990	Propagating Updates in a Highly Replicated Database.	ICDE	database
41	ICDE	An Analysis of Borrowing Policies for Escrow Transactions in a Replicated Data Environment.	Akhil Kumar	1990	An Analysis of Borrowing Policies for Escrow Transactions in a Replicated Data Environment.	ICDE	database
42	ICDE	Query Processing for Temporal Databases.	T. Y. Cliff Leung,Richard R. Muntz	1990	Query Processing for Temporal Databases.	ICDE	database
43	ICDE	Multimedia Object Models for Synchronisation and Databases.	Thomas D. C. Little,Arif Ghafoor	1990	Multimedia Object Models for Synchronisation and Databases.	ICDE	database
44	ICDE	On Representing Indefinite and Maybe Information in Relational Databases: A Generalization.	Ken-Chih Liu,Rajshekhar Sunderraman	1990	On Representing Indefinite and Maybe Information in Relational Databases: A Generalization.	ICDE	database
45	ICDE	A Brief Overview of LILOG-DB.	Thomas Ludwig	1990	A Brief Overview of LILOG-DB.	ICDE	database
46	ICDE	Representing Processes in the Extended Entity-Relationship Model.	Victor M. Markowitz	1990	Representing Processes in the Extended Entity-Relationship Model.	ICDE	database
47	ICDE	A ``Greedy'' Approach to the Write Problem in Shadowed Disk Systems.	Norman S. Matloff,Raymond Wai-Man Lo	1990	A ``Greedy'' Approach to the Write Problem in Shadowed Disk Systems.	ICDE	database
48	ICDE	Structuring Knowledge Bases Using Automatic Learning.	Guy W. Mineau,Jan Gecsei,Robert Godin	1990	Structuring Knowledge Bases Using Automatic Learning.	ICDE	database
49	ICDE	An Algorithmic Basis for Integrating Production Systems and Large Databases.	Daniel P. Miranker,David A. Brant	1990	An Algorithmic Basis for Integrating Production Systems and Large Databases.	ICDE	database
50	ICDE	Concurrency Control of Bulk Access Transactions on Shared Nothing Parallel Database Machines.	Tadashi Ohmori,Masaru Kitsuregawa,Hidehiko Tanaka	1990	Concurrency Control of Bulk Access Transactions on Shared Nothing Parallel Database Machines.	ICDE	database
51	ICDE	A New Tree Type Data Structure with Homogeneous Nodes Suitable for a Very Large Spatial Database.	Yutaka Ohsawa,Masao Sakauchi	1990	A New Tree Type Data Structure with Homogeneous Nodes Suitable for a Very Large Spatial Database.	ICDE	database
52	ICDE	Serializability in Object-Oriented Database Systems.	Thomas C. Rakow,Junzhong Gu,Erich J. Neuhold	1990	Serializability in Object-Oriented Database Systems.	ICDE	database
53	ICDE	A Cooperative Approach to Large Knowledge Based Systems.	C. V. Ramamoorthy,Shashi Shekhar	1990	A Cooperative Approach to Large Knowledge Based Systems.	ICDE	database
54	ICDE	How to Share Work on Shared Objects in Design Databases.	Michael Ranft,Simone Rehm,Klaus R. Dittrich	1990	How to Share Work on Shared Objects in Design Databases.	ICDE	database
55	ICDE	Scheduling Data Redistribution in Distributed Databases.	Pedro I. Rivera-Vega,Ravi Varadarajan,Shamkant B. Navathe	1990	Scheduling Data Redistribution in Distributed Databases.	ICDE	database
56	ICDE	A Query Algebra for Object-Oriented Databases.	Gail M. Shaw,Stanley B. Zdonik	1990	We define an algebra that synthesizes relational query concepts with object-oriented databases. The algebra fully supports abstract data types and object identity while providing associative access to objects, including a unique join capability. The operations take an abstract view of objects and access typed collections of objects through the public interface defined for the type. The algebra supports access to relationships implied by the structure of the objects, as well as the definition and creation of new relationships between objects. The structure of the algebra and the abstract access to objects offer opportunities for query optimization.	ICDE	database
57	ICDE	A Modular Query Optimizer Generator.	Edward Sciore,John Sieg Jr.	1990	A Modular Query Optimizer Generator.	ICDE	database
58	ICDE	Currency-Based Updates to Distributed Materialized Views.	Arie Segev,Weiping Fang	1990	Currency-Based Updates to Distributed Materialized Views.	ICDE	database
59	ICDE	Extended Relations.	John Sieg Jr.,Edward Sciore	1990	Extended Relations.	ICDE	database
60	ICDE	The Semantic Data Model for Security: Representing the Security Semantics of an Application.	Gary W. Smith	1990	The Semantic Data Model for Security: Representing the Security Semantics of an Application.	ICDE	database
61	ICDE	Performance Evaluation of Multiversion Database Systems.	Sang Hyuk Son,Navid Haghighi	1990	Performance Evaluation of Multiversion Database Systems.	ICDE	database
62	ICDE	Parallelism in Database Production Systems.	Jaideep Srivastava,Kuo-Wei Hwang,Jack S. Eddy Tan	1990	Parallelism in Database Production Systems.	ICDE	database
63	ICDE	Distributed RAID - A New Multiple Copy Algorithm.	Michael Stonebraker,Gerhard A. Schloss	1990	Distributed RAID - A New Multiple Copy Algorithm.	ICDE	database
64	ICDE	Supporting Universal Quantification in a Two-Dimensional Database Query Language.	Kyu-Young Whang,Ashok Malhotra,Gary H. Sockut,Luanne M. Burns	1990	Supporting Universal Quantification in a Two-Dimensional Database Query Language.	ICDE	database
65	ICDE	The Fingerprinted Database.	Neal R. Wagner,Robert L. Fountain,Robert J. Hazy	1990	The Fingerprinted Database.	ICDE	database
66	ICDE	Concurrency Control Using Locking with Deferred Blocking.	Philip S. Yu,Daniel M. Dias	1990	Concurrency Control Using Locking with Deferred Blocking.	ICDE	database
67	ICDE	Experiences with Distributed Query Processing.	Clement T. Yu,Chengwen Liu	1990	Experiences with Distributed Query Processing.	ICDE	database
68	SIGMOD Conference	Efficient Updates to Independent Schemes in the Weak Instance Model.	Paolo Atzeni,Riccardo Torlone	1990	The weak instance model is a framework to consider the relations in a database as a whole, regardless of the way attributes are grouped in the individual relations. Queries and updates can be performed involving any set of attributes. The management of updates is based on a lattice structure on the set of legal states, and inconsistencies and ambiguities can arise In the general case, the test for inconsistency and determinism may involve the application of the chase algorithm to the whole database. In this paper it is shown how, for the highly significant class of independent schemes, updates can be handled efficiently, considering only the relevant portion of the database.	SIGMOD Conferen	database
69	SIGMOD Conference	OdeView: The Graphical Interface to Ode.	Rakesh Agrawal,Narain H. Gehani,J. Srinivasan	1990	OdeView is the graphical front end for Ode, an object-oriented database system and environment. Ode's data model supports data encapsulation, type inheritance, and complex objects. OdeView provides facilities for examining the database schema (i.e., the object type or class hierarchy), examining class definitions, browsing objects, following chains of references starting from an object, synchronized browsing, displaying selected portions of objects (projection), and retrieving objects with specific characteristics (selection). OdeView does not need to know about the internals of Ode objects. Consequently, the internals of specific classes are not hardwired into OdeView and new classes can be added to the Ode database without requiring any changes to or recompilation of OdeView. Just as OdeView does not know about the object internals, class functions (methods) for displaying objects are written without knowing about the specifics of the windowing software used by OdeView or the graphical user interface provided by it. In this paper, we present OdeView, and discuss its design and implementation.	SIGMOD Conferen	database
70	SIGMOD Conference	OdeView: A User-Friendly Graphical Interface to Ode.	Rakesh Agrawal,Narain H. Gehani,J. Srinivasan	1990	OdeView is the graphical front end for Ode, an object-oriented database system and environment. It is intended for users who do not want to write programs in Ode's database programming language O++ to interact with Ode but instead want to use a friendlier interface to Ode. OdeView is based on the graphical direct manipulation paradigm that involves selection of items from pop-up menus and icons that can be clicked on and dragged. OdeView provides facilities for examining the database schema examining class definitions, browsing objects, following chains of references, displaying selected portions of objects or selecting a subset of the ways in which an object can be displayed (projection), and retrieving specific objects (selection). Upon entering OdeView, the user is presented with a scrollable &ldquo;database&rdquo; window containing the names and iconified images of the current Ode databases. The user can select a database to interact with by using the mouse to click on the appropriate icon. OdeView then opens a &ldquo;class relationship&rdquo; window which displays the hierarchy relationship between the object classes database. The hierarchy relationship between classes is a set of dags. The user can zoom in and zoom out to examine this dag at various levels of detail. The user can also examine a class in detail by clicking at the node labeled with the class of interest. Clicking results in the opening of a &ldquo;class information&rdquo; window that has three scrollable subwindows, one showing its superclasses, the second its subclasses, and the third showing the meta data associated with this class. The class information window also has a button, clicking which shows the class definition. The user may continue schema browsing by selecting another node in the schema graph, or may click on one of the superclasses or subclasses. Associated with each class in Ode a the set of persistent objects of that class, called cluster. The class definition window has an &ldquo;objects&rdquo; button that allows users to browse through the objects in the cluster. Clicking this button opens the &ldquo;object set&rdquo; window which consists of two parts the control and object panels. The control panel consists of buttons reset, next, and previous to sequence through the objects. The object panel has buttons to view the object, projection (to view parts of the object), and to specify the selection criteria. An Ode object can be displayed in one or more formats depending upon the semantics of the display function associated with the corresponding class. The object set window supplies one button each for each of the object display formats. For example, an employee object can be displayed textually or in pictorial form, the object panel for employee will provides appropriate buttons to see these displays. An object may contain embedded references to other objects. The object panel of an object set window provides buttons for viewing these referenced objects. The basic browsing paradigm encouraged by OdeView is to start from an object and then explore the related objects in the database by following the embedded chains of references. To speed up such repetitive navigations, OdeView supports synchronized browsing. Once the user has displayed a network of objects and the user applies a sequencing operation to any object in this network, the sequencing operation is automatically propagated over the network. OdeView is implemented using X-Windows and HP-Widgets on a SUN workstation running the UNIX system. The video takes the viewers on a tour of OdeView, showing how a user interacts with OdeView to examine the database schema and the objects in the database.	SIGMOD Conferen	database
71	SIGMOD Conference	The Object-Oriented Database System Manifesto.	Malcolm P. Atkinson,François Bancilhon,David J. DeWitt,Klaus R. Dittrich,David Maier,Stanley B. Zdonik	1990	The Object-Oriented Database System Manifesto.	SIGMOD Conferen	database
72	SIGMOD Conference	Performance Evaluation of Semantics-based Multilevel Concurrency Control Protocols.	B. R. Badrinath,Krithi Ramamritham	1990	For next generation information systems, concurrency control mechanisms are required to handle high level abstract operations and to meet high throughput demands. The currently available single level concurrency control mechanisms for reads and writes are inadequate for future complex information systems. In this paper, we will present a new multilevel concurrency protocol that uses a semantics-based notion of conflict, which is weaker than commutativity, called recoverability. Further, operations are scheduled according to relative conflict, a conflict notion based on the structure of operations. Performance evaluation via extensive simulation studies show that with our multilevel concurrency control protocol, the performance improvement is significant when compared to that of a single level two-phase locking based concurrency control scheme or to that of a multilevel concurrency control scheme based on commutativity alone. Further, simulation studies show that our new multilevel concurrency control protocol performs better even with resource contention.	SIGMOD Conferen	database
73	SIGMOD Conference	Implementing Recoverable Requests Using Queues.	Philip A. Bernstein,Meichun Hsu,Bruce Mann	1990	Transactions have been rigorously defined and extensively studied in the database and transaction processing literature, but little has been said about the handling of the requests for transaction execution in commercial TP systems, especially distributed ones, managing the flow of requests is often as important as executing the transactions themselves. This paper studies fault-tolerant protocols for managing the flow of transaction requests between clients that issue requests and servers that process them. We discuss how to implement these protocols using transactions and recoverable queuing systems. Queuing systems are used to move requests reliably between clients and servers. The protocols use queuing systems to ensure that the server processes each request exactly once and that a client processes each reply at least once. We treat request-reply protocols for single-transaction requests, for multi-transaction requests, and for requests that require interaction with the display after the request is submitted.	SIGMOD Conferen	database
74	SIGMOD Conference	The INA: A Simple Query Language with Only Attribute Names.	Bruce I. Blum,Ralph D. Semmel	1990	Current query languages, such as SQL, assume that the user is familiar with the database schema including the attribute names, types, and relation associations. When a user has imperfect knowledge of this information (or when he balks at the data-processing orientation of the required statements), he normally asks an experienced analyst to perform his and hoc query. The Intelligent Navigational Assistant (INA) was developed for the U S Army as a prototype query tool that permits the users to specify requests using only domain terms familiar to them. Once a request is made, it is converted into SQL for processing1,2 To facilitate query formulation, the INA supports an interface that allows the user to identify attributes without relation associations (i.e., treats the data model as a universal relation). Because an attribute may appear in many relations, one of the principal tasks of the INA is the determination of the appropriate relation bindings. To aid in the selection of terms, the INA maintains a user vocabulary and provides facilities for browsing the vocabulary and examining term definitions. Thus, the INA has two primary functions it provides an easy-to-use interface for query definition, and it converts a request into SQL. The INA prototype has been implemented as a PC-resident knowledge-based system linked to a host-based DBMS. Its knowledge base is the logical schema of the target database, and the query transformation relies on the dependencies implicit in that schema. Supporting the knowledge-processing functions are the query definition interface, various tools to manage the target data model description, and facilities for communicating with other computers. The system was developed using TEDIUM@@@@,3 and the user interface and query resolution mechanism are extensions of earlier work with Tequila4 (which accessed the semantically-richer TEDIUM@@@@ data model) Work on the INA began in 1987 and was terminated in 1988. The system was demonstrated as a prototype with an Army-supplied logical model consisting of approximately 40 relations and 200 attributes. After query definition, reformation, and user acceptance, the SQL queries were submitted to the mainframe for processing. In those tests, the INA often produced better queries than those manually coded by analysts. The INA currently is undergoing a beta test with a much larger database schema. Its algorithms are described in reference 5, and reference 3 contains details regarding its implementation and semantic data model. Current research includes the development of improved query resolution algorithms based on an enriched semantic data model	SIGMOD Conferen	database
75	SIGMOD Conference	The R*-Tree: An Efficient and Robust Access Method for Points and Rectangles.	Norbert Beckmann,Hans-Peter Kriegel,Ralf Schneider,Bernhard Seeger	1990	The R-tree, one of the most popular access methods for rectangles, is based on the heuristic optimization of the area of the enclosing rectangle in each inner node. By running numerous experiments in a standardized testbed under highly varying data, queries and operations, we were able to design the R*-tree which incorporates a combined optimization of area, margin and overlap of each enclosing rectangle in the directory. Using our standardized testbed in an exhaustive performance comparison, it turned out that the R*-tree clearly outperforms the existing R-tree variants. Guttman's linear and quadratic R-tree and Greene's variant of the R-tree. This superiority of the R*-tree holds for different types of queries and operations, such as map overlay, for both rectangles and multidimensional points in all experiments. From a practical point of view the R*-tree is very attractive because of the following two reasons 1 it efficiently supports point and spatial data at the same time and 2 its implementation cost is only slightly higher than that of other R-trees.	SIGMOD Conferen	database
76	SIGMOD Conference	Reliable Transaction Management in a Multidatabase System.	Yuri Breitbart,Abraham Silberschatz,Glenn R. Thompson	1990	A model of a multidatabase system is defined in which each local DBMS uses the two-phase locking protocol Locks are released by a global transaction only after the transaction commits or aborts at each local site. Failures may occur during the processing of transactions. We design a fault tolerant transaction management algorithm and recovery procedures that retain global database consistency. We also show that our algorithms ensure freedom from global deadlocks of any kind.	SIGMOD Conferen	database
77	SIGMOD Conference	Integrating Object-Oriented Data Modeling with a Rule-Based Programming Paradigm.	Filippo Cacace,Stefano Ceri,Stefano Crespi-Reghizzi,Letizia Tanca,Roberto Zicari	1990	LOGRES is a new project for the development of extended database systems which is based on the integration of the object-oriented data modelling paradigm and of the rule-based approach for the specification of queries and updates. The data model supports generalization hierarchies and object sharing, the rule-based language extends Datalog to support generalized type constructors (sets, multisets, and sequences), rule-based integrity constraints are automatically produced by analyzing schema definitions. Modularization is a fundamental feature, as modules encapsulate queries and updates, when modules are applied to a LOGRES database, their side effects can be controlled. The LOGRES project is a follow-up of the ALGRES project, and takes advantage of the ALGRES programming environment for the development of a fast prototype.	SIGMOD Conferen	database
78	SIGMOD Conference	Kaleidoscope: A Cooperative Menu-Guided Query Interface.	Sang Kyun Cha,Gio Wiederhold	1990	Querying databases to obtain information requires the user's knowledge of query language and underlying data. However, because the knowledge in human long-term memory is imprecise, incomplete, and often incorrect, user queries are subject to various types of failure. These may include spelling mistakes, the violation of the syntax and semantics of a query language, and the misconception of the entities and relationships in a database. Kaleidoscope is a cooperative query interface whose knowledge guides users to avoid most failure during query creation. We call this type of cooperative behavior intraquery guidance. To enable this early, active engagement in the user's process of query creation, Kaleidoscope reduces the granularity of user-system interaction via a context-sensitive menu. The system generates valid query constituents as menu choices step-by-step by interpreting a language grammar, and the user creates a query following this menu guidance[2]. For instance, it takes four steps to create the following query [Q1] Who/1 authored/2 'Al'/3 journal papers/(3+) in 'Postquery COOP'/4 At each of such steps, as the user selects one of menu choices, the system updates its partial query status window. If a choice is unique as in (3+), it is taken automatically. To guide the user's entry of values, the system provides a pop-up menu for each value domain. With Kaleidoscope's process of choice generation tightly controlled by the system's knowledge of query language and underlying data, users need not remember the query language and the underlying database structure but merely recognize or identify the constituents coming one after another that match their intended query. The system provides additional guidance for users to avoid creating semantically inconsistent queries. It informs the user of any derived predicates on the completion of a user-selected predicate. To illustrate this, consider a partially constructed SQL query [Q2] SELECT * FROM professor p#1 WHERE p#1 dept = 'CS' AND p#1 salary < 40000 Suppose that the system has an integrity constraint [IC] FROM professor p IF p dept = 'CS' AND p salary < 45000 THEN p rank = 'Assistant' This rules states that a CS professor whose salary is less than 45000 is an assistant professor. With the replacement of rule variable p in IC by Q2's range variable p#1, IC's leading two predicates subsume Q2's query condition, producing p#1 rank = 'Assistant'. Because this derived predicate is not subsumed by Q2's query condition, the system suspects that the user may not know of it and presents it to the user. Derived predicates, together with user-selected ones, constrain the user's further conjunctive extension of the partial query condition. For example, the system prunes the field rank (as well as the field dept) in the conjunctive extension of Q2, because the derived condition restricts the value of this field to a constant. As shown in examples, we apply Kaleidoscope's approach to two linear-syntax languages in different levels of abstraction SQL[1] and a query language whose syntax and semantics cover a subset of wh-queries. To implement the intraquery guidance, we extend context-free grammar by associating context variables with each grammar symbol and attaching several types of procedural decorations to grammar rules. This extension enables the system to capture the semantic constraints and its user-guiding actions in a domain-independent grammar. As the grammar is interpreted, the database-specific information is fed from the system's lexicon and knowledge base. The current implementation of Kaleidoscope runs on a XEROX-1186 LISP machine with a SUN server configured with a relational DBMS. The approach of Kaleidoscope is based on the normative system assumption. The system presents its capability transparently to the user in a context-dependent manner during the user's query creation. This makes the system usable even with a small amount of stored knowledge.	SIGMOD Conferen	database
79	SIGMOD Conference	ACTA: A Framework for Specifying and Reasoning about Transaction Structure and Behavior.	Panos K. Chrysanthis,Krithi Ramamritham	1990	Recently, a number of extensions to the traditional transaction model have been proposed to support new information-intensive applications such as CAD/CAM and software development. However, these extended models capture only a subset of interactions that can be found in such applications, and represent only some of the points within the spectrum of interactions possible in competitive and cooperative environments. ACTA is a formalizable framework developed for characterizing the whole spectrum of interactions. The ACTA framework is not yet another transaction model, but is intended to unify the existing models. ACTA allows for specifying the structure and the behavior of transactions as well as for reasoning about the concurrency and recovery properties of the transactions. In ACTA, the semantics of interactions are expressed in terms of transactions' effects on the commit and abort of other transactions and on objects' state and concurrency status (i.e., synchronization state). Its ability to capture the semantics of previously proposed transaction models is indicative of its generality. The reasoning capabilities of this framework have also been tested by using the framework to study the properties of a new model that is derived by combining two existing transaction models.	SIGMOD Conferen	database
80	SIGMOD Conference	The G+/GraphLog Visual Query System.	Mariano P. Consens,Alberto O. Mendelzon	1990	The video presentation &ldquo;The G+/GraphLog Visual Query System&rdquo; gives an overview of the capabilities of the ongoing implementation of the G+ Visual Query System for visualizing both data and queries as graphs. The system provides an environment for expressing queries in GraphLog [Con89, CM89, CM90], as well as for browsing, displaying and editing graphs. The visual query system also supports displaying the answers in several different ways. Graphs are a very natural representation for data in many application domains, for example, transportation networks, project scheduling, parts hierarchies, family trees, concept hierarchies, and Hypertext. From a broader perspective, many databases can be naturally viewed as graphs. In particular, any relational database in which we can identify one or more sets of objects of interest and relationships between them can be represented by mapping these objects into nodes and relationships into edges. In the case of semantic and object-oriented databases, there is a natural mapping of objects to nodes and attributes to edges. GraphLog is a visual query language, based on a graph representation of both data and queries, that has evolved from the earlier language G+ [CMW87, CMW89, MW89]. GraphLog queries ask for patterns that must be present or absent in the database graph. Each such pattern, called a query graph, defines new edges that are added to the graph whenever the pattern is found. GraphLog queries are sets of query graphs, called graphical queries. If, when looking at a query graph in a graphical query, we do not find an edge label in the database, then there must exist another query graph in the graphical query defining that edge. The language also supports computing aggregate functions and summarizing along paths. The G+ Visual Query System is currently implemented in Smalltalk-80&trade;, and runs on Sun 3, Sun 4 and Macintosh II workstations. A Graph Editor is available for editing query graphs and displaying database graphs. It supports graph &ldquo;cutting and pasting&rdquo;, as well as text editing of node and edge labels, node and edge repositioning and re-shaping, storage and retrieval of graphs as text files, etc. Automatic graph layout is also provided. For editing collections of graphs (such as graphical queries) a Graph Browser is available. The first answer mode supported by the G+ Visual Query System is to return as the result of a GraphLog query a graph with the new edges defined by the graphical query added to the database graph. An alternative way of visualizing answers is by high-lighting on the database graph, one at a time, the paths (or just the nodes) described by the query. This mode is particularly useful to locate interesting starting points for browsing. Rather than viewing the answers superimposed on the database graph, the user may choose to view them in a Graph Browser. The Graph Browser contains the set of subgraphs of the database graph that were found to satisfy the query. Finally, the user may select to collect all the subgraphs of the database graph that satisfy the query together into one new graph. This graph (as well as any other result graph from any of the above mentioned answer modes) in turn may be queried, providing a mechanism for iterative filtering of irrelevant information until a manageable subgraph is obtained.	SIGMOD Conferen	database
